,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
11,Alcoholic Beverages companies,Assoc.Alcohols,https://www.screener.in/company/ASALCBR/,875,484,516,311,18.9,214,0.21,14.6,12.3,10.0,8.25,55.4,31.6,1.81,10.3,6.28,58.2,7.44,0.94,0.24,ASALCBR
12,Alcoholic Beverages companies,IFB Agro Inds.,https://www.screener.in/company/IFBAGRO/consolidated/,462,493,585,414,25.5,588,0.00,12.8,9.39,10.0,-20.2,19.1,31.6,0.94,8.14,15.7,61.6,-2.24,0.84,0.03,IFBAGRO
13,Alcoholic Beverages companies,Khoday India,https://www.screener.in/company/507435/,391,116,124,66.0,,1.49,0.00,2.12,-62.0,10.0,-14.3,76.1,31.6,3.37,-1.51,6.44,65.0,-0.27,0.94,50.5,507435
14,Alcoholic Beverages companies,Comfort Intech,https://www.screener.in/company/531216/consolidated/,300,9.38,10.2,2.34,33.9,4.16,0.64,6.84,5.80,1.0,-7.52,301,31.6,32.0,33.6,7.77,64.7,0.16,0.92,0.09,531216
15,Alcoholic Beverages companies,Aurangabad Dist.,https://www.screener.in/company/AURDIS/,234,285,350,99.8,11.6,92.4,0.00,29.6,28.9,10.0,42.8,186,31.6,0.82,36.1,18.5,46.0,11.3,0.82,0.63,AURDIS
16,Alcoholic Beverages companies,Shri Gang Indus,https://www.screener.in/company/523309/,212,118,168,50.3,10.0,-18.7,0.00,21.7,,10.0,154,136,31.6,1.79,"2,303",29.7,40.7,2.21,0.7,,523309
17,Alcoholic Beverages companies,Piccadily Sugar,https://www.screener.in/company/507498/,114,49.1,49.1,14.8,,5.48,0.00,-21.0,-21.9,10.0,-50.4,231,31.6,2.33,-23.6,0.0,83.7,-0.33,1.0,0.33,507498
18,Alcoholic Beverages companies,Ravikumar Distll,https://www.screener.in/company/RKDL/,50.5,21.0,29.5,10.6,,17.3,0.00,-1.47,-2.80,10.0,11.1,99.5,31.6,2.40,-28.3,28.6,45.9,-0.67,0.71,0.97,RKDL
19,Alcoholic Beverages companies,Winsome Brew.,https://www.screener.in/company/526471/,47.0,17.0,24.9,8.90,294,12.1,0.00,-2.37,-2.42,10.0,-92.5,90.8,31.6,2.77,-59.3,31.9,43.1,0.2,0.68,0.27,526471
20,Alcoholic Beverages companies,Silver Oak (I),https://www.screener.in/company/531635/consolidated/,24.1,63.7,80.6,35.6,,17.6,0.00,-2.62,-15.7,10.0,100,78.9,31.6,0.38,0.00,21.0,58.1,-1.27,0.79,1.27,531635
21,Auto Ancillaries companies,Samvardh. Mothe.,https://www.screener.in/company/MOTHERSON/consolidated/,"69,086",102,104,61.8,45.5,33.3,0.64,8.76,7.16,1.0,28.0,65.0,32.7,678,9.03,1.5,67.8,0.3,0.99,0.97,MOTHERSON
22,Auto Ancillaries companies,Tube Investments,https://www.screener.in/company/TIINDIA/consolidated/,"68,486","3,542","4,050","2,375",74.9,229,0.10,31.6,27.0,1.0,8.91,49.1,32.7,19.3,46.6,12.6,51.6,13.6,0.87,0.19,TIINDIA
23,Auto Ancillaries companies,Bosch,https://www.screener.in/company/BOSCHLTD/,"65,487","22,204","22,300","16,366",42.8,"3,929",2.16,17.4,13.2,10.0,17.5,35.7,32.7,2.95,14.9,0.43,65.0,339.0,1.0,0.0,BOSCHLTD
24,Auto Ancillaries companies,Uno Minda,https://www.screener.in/company/UNOMINDA/consolidated/,"39,417",688,695,433,53.1,77.6,0.22,18.1,17.1,2.0,24.8,58.8,32.7,57.3,21.8,1.01,63.3,3.93,0.99,0.37,UNOMINDA
25,Auto Ancillaries companies,Sona BLW Precis.,https://www.screener.in/company/SONACOMS/consolidated/,"37,796",644,652,401,80.1,41.6,0.44,22.0,18.3,10.0,28.8,60.7,32.7,58.6,37.1,1.1,73.3,2.12,0.99,0.16,SONACOMS
26,Auto Ancillaries companies,ZF Commercial,https://www.screener.in/company/ZFCVINDIA/,"30,349","16,007","16,965","8,755",77.7,"1,365",0.08,18.9,13.9,5.0,25.4,82.8,32.7,1.90,21.3,5.65,54.9,55.0,0.94,0.02,ZFCVINDIA
27,Auto Ancillaries companies,Motherson Wiring,https://www.screener.in/company/MSUMI/,"27,300",61.8,68.0,45.2,52.1,2.98,1.05,43.8,39.8,1.0,13.4,36.8,32.7,442,,9.19,55.3,0.35,0.91,0.21,MSUMI
28,Auto Ancillaries companies,Endurance Tech.,https://www.screener.in/company/ENDURANCE/consolidated/,"27,193","1,933","1,948","1,172",48.3,326,0.36,13.8,11.3,10.0,10.4,65.0,32.7,14.1,8.38,0.76,72.7,11.0,0.99,0.15,ENDURANCE
29,Auto Ancillaries companies,Exide Inds.,https://www.screener.in/company/EXIDEIND/consolidated/,"27,017",318,324,170,31.1,147,0.63,10.2,7.28,1.0,7.72,86.4,32.7,85.0,1.38,1.97,70.5,3.17,0.98,0.06,EXIDEIND
30,Auto Ancillaries companies,Sundram Fasten.,https://www.screener.in/company/SUNDRMFAST/consolidated/,"26,243","1,249","1,341",935,52.2,153,0.53,19.3,17.4,1.0,6.05,33.6,32.7,21.0,15.0,6.85,50.7,6.28,0.93,0.18,SUNDRMFAST
