,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
3056,Steel companies,Kirl. Ferrous,https://www.screener.in/company/TIIL/consolidated/,"5,825","2,537","2,750",876,20.5,682,0.0,19.6,19.3,10.0,-1.60,190,21.9,2.30,13.6,7.74,57.8,28.7,0.92,0.42,TIIL
3057,Steel companies,Technocraf.Inds.,https://www.screener.in/company/GALLANTT/,"4,338",180,200,46.0,26.0,95.5,0.0,10.2,6.54,10.0,11.6,291,21.9,24.1,67.1,10.2,85.9,1.96,0.9,0.21,GALLANTT
3058,Steel companies,Gallantt Ispat L,https://www.screener.in/company/JTLIND/,"4,072",238,253,142,36.9,28.0,0.04,34.6,30.1,2.00,31.7,67.5,21.9,17.1,88.9,5.86,58.8,1.64,0.94,0.12,JTLIND
3059,Steel companies,JTL Industries,https://www.screener.in/company/RAJRATAN/consolidated/,"3,962",780,920,697,53.4,89.0,0.26,27.0,25.7,2.00,-11.4,12.0,21.9,5.08,23.1,15.2,57.5,3.84,0.85,0.5,RAJRATAN
3060,Steel companies,Rajratan Global,https://www.screener.in/company/SUNFLAG/consolidated/,"3,773",209,249,112,23.0,263,0.0,11.9,8.78,10.0,7.09,87.7,21.9,18.0,25.7,15.9,52.9,2.15,0.84,0.17,SUNFLAG
3061,Steel companies,Sunflag Iron,https://www.screener.in/company/TATAMETALI/,"3,392","1,074","1,092",721,29.8,510,0.47,7.91,5.18,10.0,2.64,49.0,21.9,3.16,16.7,1.64,69.7,14.0,0.98,0.09,TATAMETALI
3062,Steel companies,Tata Metaliks,https://www.screener.in/company/PRAKASH/,"2,994",167,203,48.8,10.6,174,0.0,7.87,6.58,10.0,-0.09,243,21.9,17.9,5.01,17.6,51.8,4.99,0.82,0.14,PRAKASH
3063,Steel companies,Prakash Industri,https://www.screener.in/company/MUKANDLTD/consolidated/,"2,857",198,209,115,14.4,60.8,1.01,-8.29,-50.9,10.0,-3.09,71.7,15.9,14.4,24.0,5.25,65.8,1.61,0.95,1.7,MUKANDLTD
3064,Steel companies,Mukand,https://www.screener.in/company/VENUSPIPES/,"2,843","1,401","1,579",679,45.6,177,0.07,22.9,19.6,10.0,49.7,106,21.9,2.03,45.9,11.3,57.4,9.98,0.89,0.41,VENUSPIPES
3065,Steel companies,Venus Pipes,https://www.screener.in/company/ISMTLTD/consolidated/,"2,754",91.6,105,52.8,19.7,52.2,0.0,10.8,6.13,5.00,8.53,73.7,21.9,30.0,24.9,12.7,47.4,1.71,0.87,0.03,ISMTLTD
3066,Steel companies,ISMT,https://www.screener.in/company/GOODLUCK/,"2,667",941,969,355,24.3,250,0.48,16.5,16.3,2.00,6.86,165,21.9,2.84,23.4,2.92,64.2,12.7,0.97,0.96,GOODLUCK
3067,Steel companies,Goodluck India,https://www.screener.in/company/KSL/,"2,116",485,558,281,9.26,359,2.06,13.3,11.7,5.00,1.85,72.4,21.9,4.37,16.6,13.2,57.3,13.4,0.87,0.17,KSL
3068,Steel companies,Kalyani Steels,https://www.screener.in/company/BHARATWIRE/,"2,101",309,344,87.3,25.3,89.8,0.0,16.2,50.5,10.0,19.9,254,21.9,6.80,31.7,10.1,52.8,3.60,0.9,0.29,BHARATWIRE
3069,Steel companies,Bharat Wire,https://www.screener.in/company/500365/,"2,088",39.4,45.2,14.0,98.1,0.92,0.0,6.04,-37.8,6.00,111,181,21.9,53.0,12.3,12.8,44.5,0.10,0.87,4.66,500365
3070,Steel companies,Welspun Special.,https://www.screener.in/company/SALASAR/consolidated/,"2,076",65.8,69.7,36.0,46.1,13.2,0.15,14.3,11.9,1.00,25.4,82.6,21.9,31.6,24.1,5.67,71.6,0.29,0.94,0.83,SALASAR
3071,Steel companies,Salasar Techno,https://www.screener.in/company/AEROFLEX/,"2,004",155,197,141,61.8,21.2,0.0,34.6,32.4,2.00,11.9,10.0,21.9,12.9,23.1,21.5,53.5,0.89,0.79,0.0,AEROFLEX
3072,Steel companies,Aeroflex,https://www.screener.in/company/VSSL/,"1,776",219,252,148,22.4,81.6,0.91,20.2,16.8,10.0,2.00,47.9,21.9,8.13,27.0,13.2,45.4,2.27,0.87,0.26,VSSL
3073,Steel companies,Vardhman Special,https://www.screener.in/company/RAMASTEEL/consolidated/,"1,776",36.0,46.1,26.1,55.5,6.25,0.0,15.8,15.2,1.00,23.6,37.9,21.9,49.3,55.9,21.9,40.2,0.13,0.78,0.46,RAMASTEEL
3074,Steel companies,Rama Steel Tubes,https://www.screener.in/company/HARIOMPIPE/,"1,728",626,740,330,30.0,147,0.0,17.0,19.4,10.0,83.7,89.7,21.9,2.76,58.8,15.5,39.3,5.35,0.85,1.02,HARIOMPIPE
3075,Steel companies,Hariom Pipe,https://www.screener.in/company/MANINDS/consolidated/,"1,714",285,291,77.1,15.1,195,0.7,10.4,6.10,5.00,24.5,270,21.9,6.01,8.25,1.94,64.4,6.50,0.98,0.18,MANINDS
3076,Steel companies,Man Industries,https://www.screener.in/company/539837/,"1,702",741,811,395,65.5,63.5,0.07,28.5,21.1,10.0,2.43,87.7,21.9,2.30,27.4,8.58,58.1,2.74,0.91,0.0,539837
3077,Steel companies,Raghav Product.,https://www.screener.in/company/PENIND/consolidated/,"1,683",125,132,52.5,19.0,61.0,0.0,13.3,9.97,5.00,5.94,138,21.9,13.5,11.2,5.53,56.8,1.67,0.94,0.89,PENIND
3078,Steel companies,Pennar Industrie,https://www.screener.in/company/HITECH/,"1,576",115,118,69.3,41.7,30.5,0.02,14.9,13.6,1.00,24.9,66.0,21.9,13.7,24.4,2.83,62.7,0.70,0.97,0.56,HITECH
3079,Steel companies,Hi-Tech Pipes,https://www.screener.in/company/SATINDLTD/consolidated/,"1,302",115,146,54.9,5.03,55.9,0.17,17.3,17.2,2.00,9.41,110,21.9,11.3,27.4,21.0,57.9,15.5,0.79,0.16,SATINDLTD
3080,Steel companies,Sat Industries,https://www.screener.in/company/STEELXIND/,"1,240",10.4,17.2,7.80,,5.06,0.0,8.56,-11.9,1.00,-6.59,34.0,21.9,119,20.8,39.4,57.7,-0.03,0.61,0.47,STEELXIND
3081,Steel companies,Steel Exchange,https://www.screener.in/company/539018/,"1,223",641,778,370,11.2,460,0.16,14.5,13.5,10.0,-20.3,73.3,21.9,1.91,11.6,17.6,43.2,15.0,0.82,0.29,539018
3082,Steel companies,Beekay Steel Ind,https://www.screener.in/company/542669/consolidated/,"1,185",52.6,63.2,25.6,17.8,28.2,0.42,11.5,8.91,1.00,15.1,106,21.9,22.5,-2.93,16.7,46.0,0.79,0.83,0.29,542669
3083,Steel companies,BMW Industries,https://www.screener.in/company/KAMDHENU/,986,366,442,260,21.9,68.8,0.41,23.2,20.9,10.0,3.69,40.8,21.9,2.69,-7.46,17.2,72.9,3.78,0.83,0.02,KAMDHENU
3084,Steel companies,Kamdhenu,https://www.screener.in/company/MSPL/consolidated/,938,24.4,25.7,7.45,50.4,14.7,0.0,1.40,-9.04,10.0,9.42,227,24.6,38.5,18.5,5.33,62.3,-0.04,0.95,1.42,MSPL
3085,Steel companies,MSP Steel & Pow.,https://www.screener.in/company/DPWIRES/,893,576,681,298,20.0,137,0.18,32.0,23.9,10.0,54.3,93.3,21.9,1.55,62.4,15.5,41.0,5.85,0.85,0.15,DPWIRES
3086,Steel companies,D P Wires,https://www.screener.in/company/GANDHITUBE/,886,729,795,456,18.1,162,1.65,36.0,27.0,5.00,-0.77,59.8,21.9,1.22,27.4,8.32,56.7,10.9,0.92,0.0,GANDHITUBE
3087,Steel companies,Gandhi Spl. Tube,https://www.screener.in/company/543590/,797,10.0,15.8,7.30,146,1.09,0.0,11.0,9.95,1.00,27.6,37.0,21.9,79.7,62.6,36.5,53.3,0.02,0.63,0.18,543590
3088,Steel companies,Rhetan TMT Ltd,https://www.screener.in/company/RATNAVEER/,560,115,138,110,22.4,49.0,0.0,14.5,29.1,10.0,12.4,5.24,21.9,4.85,17.3,16.4,44.7,1.65,0.84,0.78,RATNAVEER
3089,Steel companies,Ratnaveer Precis,https://www.screener.in/company/BEDMUTHA/consolidated/,557,173,187,46.7,32.2,33.2,0.0,12.9,13.5,10.0,10.5,269,21.9,3.23,24.0,7.6,61.4,1.23,0.92,2.28,BEDMUTHA
3090,Steel companies,Bedmutha Indus.,https://www.screener.in/company/541701/,530,460,575,375,32.8,212,0.22,21.6,16.0,10.0,2.09,22.7,21.9,1.15,16.0,20.0,49.4,4.99,0.8,0.08,541701
3091,Steel companies,Supershakti Met.,https://www.screener.in/company/GEEKAYWIRE/,476,91.0,102,13.8,12.2,17.0,0.59,27.1,42.2,2.00,23.3,558,21.9,5.23,28.0,10.5,56.1,1.89,0.89,0.94,GEEKAYWIRE
3092,Steel companies,Geekay Wires,https://www.screener.in/company/518075/,468,411,456,116,16.2,103,0.37,26.8,28.7,10.0,31.0,252,24.6,1.14,34.2,9.88,58.2,6.41,0.9,0.39,518075
3093,Steel companies,Suraj Products,https://www.screener.in/company/534064/,412,35.5,43.6,19.3,,-12.9,0.0,,,1.00,-23.5,83.9,21.9,11.6,3.87,18.6,50.3,11.2,0.81,,534064
3094,Steel companies,Alliance Integ.,https://www.screener.in/company/543928/,387,559,559,181,60.4,172,0.0,35.7,84.2,10.0,,209,21.9,0.69,,0.0,82.9,9.81,1.0,0.14,543928
3095,Steel companies,Cosmic CRF,https://www.screener.in/company/539226/,337,33.6,42.4,13.6,19.2,10.5,0.0,12.4,14.1,5.00,31.0,148,21.9,10.0,7.75,20.7,49.7,0.77,0.79,1.37,539226
3096,Steel companies,Rudra Global,https://www.screener.in/company/531638/,330,180,218,60.6,13.3,61.2,0.0,25.8,20.5,10.0,-16.0,197,21.9,1.84,27.8,17.5,50.7,2.06,0.82,0.45,531638
3097,Steel companies,Suraj,https://www.screener.in/company/511672/,314,59.9,81.0,27.5,27.4,71.6,0.0,7.95,3.36,10.0,-4.96,118,21.9,5.24,17.8,26.1,56.4,0.64,0.74,0.29,511672
3098,Steel companies,Scan Steels,https://www.screener.in/company/MANAKSTEEL/consolidated/,313,47.8,54.7,29.0,11.0,47.6,0.0,6.37,4.01,1.00,8.55,64.7,21.9,6.55,11.4,12.7,57.4,1.36,0.87,0.05,MANAKSTEEL
3099,Steel companies,Manaksia Steels,https://www.screener.in/company/ELECTHERM/consolidated/,306,240,274,48.0,1.60,-777,0.0,9.69,,10.0,25.4,400,21.9,1.27,-1.45,12.3,58.9,53.0,0.88,,ELECTHERM
3100,Steel companies,Electrotherm(I),https://www.screener.in/company/SURANI/,300,325,351,19.0,185,85.1,0.0,-1.36,-8.07,10.0,3.06,"1,611",21.9,0.92,8.08,7.41,69.0,-1.45,0.93,0.0,SURANI
3101,Steel companies,Surani Steel Tub,https://www.screener.in/company/KRITIKA/,300,11.2,11.2,2.20,40.9,2.32,0.0,11.8,8.38,2.00,37.7,411,21.9,26.6,18.1,0.0,86.4,0.08,1.0,0.59,KRITIKA
3102,Steel companies,Kritika Wires,https://www.screener.in/company/MWL/,295,121,160,89.0,17.3,59.9,0.83,9.75,14.1,10.0,24.4,35.4,21.9,2.45,25.4,24.7,54.4,3.08,0.75,0.78,MWL
3103,Steel companies,Mangalam World.,https://www.screener.in/company/513511/,284,149,170,103,,81.1,0.0,4.30,0.88,10.0,-16.3,45.3,21.9,1.91,13.9,12.3,51.7,0.37,0.88,0.38,513511
3104,Steel companies,Panchmahal Steel,https://www.screener.in/company/526981/consolidated/,275,305,353,131,9.48,310,0.0,3.22,14.1,10.0,188,133,21.9,0.90,44.2,13.6,57.6,8.18,0.86,0.18,526981
3105,Steel companies,Sh. Bajrang All.,https://www.screener.in/company/KRISHCA/,266,220,299,96.0,28.4,27.8,0.0,74.5,149,10.0,288,129,21.9,1.21,322,26.4,43.5,4.71,0.74,0.43,KRISHCA
3106,Steel companies,Krishca Strapp.,https://www.screener.in/company/540080/consolidated/,219,201,317,73.9,27.1,59.7,0.0,16.3,12.0,10.0,503,172,21.9,1.09,-33.2,36.6,35.1,1.76,0.63,0.0,540080
3107,Steel companies,Dhatre Udyog,https://www.screener.in/company/SWASTIK/,218,93.8,126,68.8,17.1,91.4,0.0,9.63,4.82,10.0,18.7,36.5,21.9,2.32,2.79,25.5,40.6,1.76,0.74,0.55,SWASTIK
3108,Steel companies,Swastik Pipe,https://www.screener.in/company/513361/,211,5.29,5.29,1.35,,0.93,0.0,-19.0,-50.3,1.00,-85.8,292,21.9,39.8,-67.8,0.0,93.5,-0.15,1.0,2.02,513361
3109,Steel companies,India Steel,https://www.screener.in/company/SALSTEEL/,206,24.3,27.5,12.9,220,4.93,0.0,8.12,8.95,10.0,-2.29,88.5,24.6,8.50,6.72,11.7,63.9,0.02,0.88,2.99,SALSTEEL
3110,Steel companies,S.A.L Steel,https://www.screener.in/company/MANAKCOAT/consolidated/,185,28.2,35.5,13.9,30.2,18.5,0.11,9.74,4.99,1.00,29.0,103,21.9,6.55,38.2,20.6,39.7,0.31,0.79,1.53,MANAKCOAT
3111,Steel companies,Manaksia Coated,https://www.screener.in/company/SHAH/consolidated/,182,4.35,5.50,2.31,,1.00,0.0,0.06,,1.00,418,88.3,21.9,41.9,-14.9,20.9,63.3,0.02,0.79,0.87,SHAH
3112,Steel companies,Shah Metacorp,https://www.screener.in/company/513693/,180,50.7,65.8,32.0,15.0,50.8,0.0,13.4,11.0,2.00,54.7,58.5,18.0,3.55,14.7,22.9,40.3,0.29,0.77,0.75,513693
3113,Steel companies,KIC Metaliks,https://www.screener.in/company/AHLADA/,172,133,139,80.2,21.3,99.3,1.05,8.01,4.10,10.0,23.2,65.4,21.9,1.29,12.8,4.77,75.8,2.12,0.95,0.37,AHLADA
3114,Steel companies,Ahlada Engineers,https://www.screener.in/company/PRAKASHSTL/,169,9.65,10.4,3.20,7.17,-1.62,0.0,,,1.00,74.5,202,21.9,17.5,43.0,6.76,78.9,0.05,0.93,,PRAKASHSTL
3115,Steel companies,Prakash Steelage,https://www.screener.in/company/513629/consolidated/,163,108,120,19.0,12.0,254,0.0,-1.08,12.7,10.0,-7.27,469,21.9,1.50,10.8,9.84,56.6,-0.47,0.9,0.86,513629
3116,Steel companies,Tulsyan NEC,https://www.screener.in/company/543874/,159,112,139,54.0,16.5,48.4,0.0,18.7,26.7,10.0,4.96,106,21.9,1.42,2.66,19.6,48.7,2.94,0.8,0.9,543874
3117,Steel companies,Maiden Forgings,https://www.screener.in/company/INCREDIBLE/,157,33.5,45.1,18.2,25.3,27.5,0.0,7.27,3.95,10.0,30.8,84.1,21.9,4.68,14.1,25.8,54.7,0.11,0.74,0.39,INCREDIBLE
3118,Steel companies,Incredible Indus,https://www.screener.in/company/CMNL/,148,61.4,84.0,40.1,7.71,35.7,0.0,31.6,29.6,10.0,-6.60,53.2,24.6,2.41,57.7,26.8,44.6,3.71,0.73,0.8,CMNL
3119,Steel companies,Chaman Metallics,https://www.screener.in/company/MAHASTEEL/consolidated/,139,84.3,92.0,49.0,22.7,83.7,0.0,5.54,3.73,10.0,27.0,72.2,21.9,1.64,22.0,8.32,58.6,0.94,0.92,0.44,MAHASTEEL
3120,Steel companies,Mahamaya Steel,https://www.screener.in/company/OILCOUNTUB/,133,30.0,30.3,12.7,,50.1,0.0,47.4,169,10.0,,136,21.9,4.43,-71.0,1.09,72.9,-3.35,0.99,0.31,OILCOUNTUB
3121,Steel companies,Oil Country,https://www.screener.in/company/513548/,131,259,297,56.0,14.2,87.7,0.0,13.4,11.4,10.0,64.6,362,21.9,0.51,15.8,12.9,56.2,7.74,0.87,0.31,513548
3122,Steel companies,Sharda Ispat,https://www.screener.in/company/SHAHALLOYS/consolidated/,126,63.8,82.6,38.8,,16.1,0.0,-1.53,-10.1,10.0,-18.9,64.4,21.9,1.98,8.57,22.8,58.7,0.18,0.77,2.21,SHAHALLOYS
3123,Steel companies,Shah Alloys,https://www.screener.in/company/MAL/,126,51.2,80.0,46.6,18.1,,0.0,11.5,9.45,10.0,-2.05,9.65,21.9,2.47,-4.37,36.1,37.4,2.43,0.64,1.06,MAL
3124,Steel companies,Mangalam Alloys,https://www.screener.in/company/538546/,123,93.5,129,54.0,29.0,19.7,0.0,21.2,19.0,10.0,31.0,73.2,21.9,1.32,31.5,27.5,43.3,0.63,0.73,0.22,538546
3125,Steel companies,Bansal Roofing,https://www.screener.in/company/517372/,115,334,399,132,17.4,170,3.0,13.8,10.3,10.0,4.50,152,21.9,0.34,2.42,16.4,54.2,6.84,0.84,0.0,517372
3126,Steel companies,Gujarat Intrux,https://www.screener.in/company/ZENITHSTL/consolidated/,112,7.85,7.95,3.20,,-18.7,0.0,,,10.0,-49.1,145,21.9,14.2,17.6,1.26,76.5,-0.53,0.99,,ZENITHSTL
3127,Steel companies,Zenith Steel,https://www.screener.in/company/HISARMETAL/,110,204,252,116,15.0,108,0.49,18.2,22.3,10.0,-16.0,75.1,21.9,0.54,15.7,19.0,54.8,3.89,0.81,1.21,HISARMETAL
3128,Steel companies,Hisar Met.Inds.,https://www.screener.in/company/530615/,105,262,262,37.0,19.5,54.2,0.0,24.2,33.5,10.0,6.66,608,21.9,0.40,34.2,0.0,92.1,1.27,1.0,0.22,530615
3129,Steel companies,Garg Furnace,https://www.screener.in/company/504903/,95.8,30.6,32.5,3.15,8.93,-21.2,0.0,32.1,,10.0,-7.68,871,21.9,3.13,169,5.91,63.8,0.26,0.94,,504903
3130,Steel companies,Rathi Steel,https://www.screener.in/company/500058/,95.6,10.6,11.8,7.71,9.50,-6.81,0.0,20.7,,10.0,11.1,37.5,24.6,9.02,,10.1,59.7,0.13,0.9,,500058
3131,Steel companies,Bihar Sponge,https://www.screener.in/company/VASWANI/,86.1,28.7,34.4,17.6,14.7,38.8,0.0,12.5,5.49,10.0,-3.77,63.5,24.6,3.00,3.44,16.6,69.6,0.28,0.83,0.42,VASWANI
3132,Steel companies,Vaswani Industri,https://www.screener.in/company/513043/,85.4,77.7,87.8,30.2,,38.3,0.0,3.69,0.36,10.0,-20.9,157,21.9,1.10,8.71,11.5,62.5,0.53,0.89,0.7,513043
3133,Steel companies,Remi Edelstahl,https://www.screener.in/company/513456/,82.7,29.1,41.5,19.0,44.0,34.7,0.0,2.58,1.39,10.0,9.62,52.6,21.9,2.84,16.1,29.9,53.0,0.82,0.7,0.51,513456
3134,Steel companies,Kanishk Steel,https://www.screener.in/company/513566/,78.0,21.6,23.3,7.91,11.0,-18.2,0.0,7.21,,10.0,-23.1,173,24.6,3.61,137,7.5,59.5,-1.55,0.92,,513566
3135,Steel companies,Nova Iron &Steel,https://www.screener.in/company/ANKITMETAL/,68.4,4.85,6.20,2.30,,-73.2,0.0,-34.2,,10.0,11.0,111,24.6,14.1,15.9,21.8,63.3,-6.87,0.78,,ANKITMETAL
3136,Steel companies,Ankit Met.Power,https://www.screener.in/company/531810/,68.2,93.1,119,69.0,25.5,51.8,0.0,9.25,7.78,10.0,-5.57,35.0,21.9,0.73,12.3,21.8,52.4,0.74,0.78,0.06,531810
3137,Steel companies,Metal Coatings,https://www.screener.in/company/543765/,62.7,51.2,77.0,40.6,22.3,29.5,0.98,27.6,29.6,10.0,87.8,26.2,21.9,1.22,42.6,33.4,48.3,0.87,0.67,0.4,543765
3138,Steel companies,Earthstahl &All.,https://www.screener.in/company/540082/,52.2,63.0,90.3,30.0,15.4,66.2,0.0,9.45,6.70,10.0,0.10,110,21.9,0.83,1.33,30.2,49.0,2.97,0.7,2.08,540082
3139,Steel companies,Riddhi Steel,https://www.screener.in/company/532918/,51.9,31.8,35.4,19.0,14.5,56.5,0.0,5.52,2.90,10.0,33.6,67.2,21.9,1.63,7.99,10.4,60.4,0.61,0.9,0.71,532918
3140,Steel companies,Rathi Bars,https://www.screener.in/company/531651/,43.4,78.5,202,67.5,96.5,56.2,0.0,0.79,0.37,10.0,-26.2,16.3,21.9,0.55,-11.7,61.1,49.2,0.05,0.39,0.06,531651
3141,Steel companies,Natl. Gen. Inds.,https://www.screener.in/company/538610/consolidated/,35.8,22.4,27.5,19.2,49.8,14.5,0.0,10.1,6.28,10.0,37.2,16.8,21.9,1.60,12.6,18.6,43.1,-2.13,0.81,3.12,538610
3142,Steel companies,Unison Metals,https://www.screener.in/company/513303/,34.5,25.1,37.4,11.6,1.97,9.05,0.0,203,358,10.0,-100,117,21.9,1.38,,32.9,48.8,0.00,0.67,0.1,513303
3143,Steel companies,Modern Steels,https://www.screener.in/company/QFIL/,29.4,103,143,77.0,16.6,98.3,0.0,8.31,7.42,10.0,3.79,33.8,21.9,0.29,7.15,28.2,53.5,2.31,0.72,1.14,QFIL
3144,Steel companies,Quality Foils,https://www.screener.in/company/SUPREMEENG/,26.2,1.05,1.30,0.50,,-2.70,0.0,-120,,1.00,-74.7,110,21.9,25.0,-52.1,19.2,57.0,-0.05,0.81,,SUPREMEENG
3145,Steel companies,Supreme Engg.,https://www.screener.in/company/513401/,25.1,31.5,45.9,26.4,21.6,47.2,0.0,8.55,8.42,10.0,-26.6,19.4,21.9,0.80,14.5,31.4,56.2,1.08,0.69,2.48,513401
3146,Steel companies,Ashiana Ispat,https://www.screener.in/company/GFSTEELS/,23.0,7.55,9.10,5.25,,-1.53,0.0,,,4.00,,43.8,21.9,3.04,-75.6,17.0,60.1,-0.07,0.83,,GFSTEELS
3147,Steel companies,Grand Foundry,https://www.screener.in/company/530253/,19.0,42.1,48.6,12.0,15.4,17.9,0.0,10.8,13.6,10.0,32.8,250,21.9,0.45,34.1,13.5,63.8,0.47,0.87,1.58,530253
3148,Steel companies,Rajas. Tube Mfg,https://www.screener.in/company/504648/,18.1,33.9,38.8,17.3,,14.1,0.0,-4.56,-4.60,1.00,,96.6,21.9,0.53,,12.6,46.8,-0.22,0.87,0.0,504648
3149,Steel companies,Bombay Wire,https://www.screener.in/company/538812/,17.5,8.40,19.8,8.00,,8.50,0.0,-20.1,-67.6,10.0,-25.0,5.00,21.9,2.09,4.57,57.6,39.2,-1.70,0.42,4.79,538812
3150,Steel companies,Aanchal Ispat,https://www.screener.in/company/523832/,15.1,12.7,12.8,5.96,37.6,-5.94,0.0,,,5.00,0.88,114,21.9,1.18,-9.60,0.86,80.1,0.03,0.99,,523832
3151,Steel companies,Mukat Pipes,https://www.screener.in/company/522273/,12.7,31.0,31.4,16.6,,59.8,0.0,-2.26,-2.42,10.0,35.1,87.3,21.9,0.41,-32.1,1.43,66.4,-1.88,0.99,0.0,522273
3152,Steel companies,Ahm. Steelcraft,https://www.screener.in/company/513488/,12.2,36.9,48.0,25.7,53.1,40.5,0.0,8.14,5.88,10.0,-33.4,43.7,21.9,0.33,-5.59,23.2,52.0,-0.63,0.77,0.0,513488
3153,Steel companies,Sh. Steel Wire,https://www.screener.in/company/531539/,11.1,20.3,26.0,15.3,,11.4,0.0,-5.18,-6.45,10.0,-100,33.0,21.9,0.55,-84.2,21.9,48.1,-0.35,0.78,0.26,531539
3154,Steel companies,Rish.Digh.Steel,https://www.screener.in/company/520081/,9.66,17.9,35.2,17.9,,35.7,0.0,1.11,0.95,10.0,-63.4,0.00,21.9,0.54,,49.1,12.3,0.32,0.51,0.13,520081
3155,Steel companies,Eastcoast Steel,https://www.screener.in/company/513540/,9.25,18.0,25.4,9.05,10.2,18.2,0.0,5.97,5.68,10.0,-7.93,99.4,21.9,0.51,21.9,29.0,36.1,0.06,0.71,0.65,513540
3156,Steel companies,T N Steel Tubes,https://www.screener.in/company/539798/,6.36,6.36,9.13,5.61,,13.3,0.0,-18.2,-28.4,10.0,-86.2,13.4,21.9,1.00,0.80,30.3,52.1,-0.49,0.7,0.46,539798
3157,Steel companies,Umiya Tubes,https://www.screener.in/company/513403/,6.35,6.30,8.60,4.50,37.4,8.47,0.0,2.75,1.91,10.0,-37.5,40.0,21.9,1.01,-6.04,26.7,64.6,0.02,0.73,0.0,513403
3158,Steel companies,P.M. Telelinnks,https://www.screener.in/company/504731/,5.83,58.3,58.3,18.0,,0.70,0.0,-43.9,-72.0,10.0,,224,21.9,0.10,,0.0,95.5,-0.20,1.0,0.0,504731
3159,Steel companies,Indian Bright St,https://www.screener.in/company/513460/,5.52,10.4,11.8,5.38,23.0,-1.70,0.0,20.0,120,10.0,-4.17,94.2,21.9,0.53,-0.72,11.4,57.3,-2.92,0.89,,513460
3160,Steel companies,Mahalaxmi Seam.,https://www.screener.in/company/513513/,5.24,9.80,11.4,7.51,175,20.2,0.0,7.19,2.64,10.0,21.2,30.5,21.9,0.54,20.2,14.3,50.3,0.02,0.86,3.18,513513
3161,Steel companies,Aditya Ispat,https://www.screener.in/company/526967/,4.94,8.39,14.5,5.78,,-0.10,0.0,-220,,10.0,,45.2,21.9,0.59,,42.1,50.5,0.00,0.58,,526967
3162,Steel companies,Heera Ispat,https://www.screener.in/company/513397/,3.60,7.27,9.11,4.43,,-40.1,0.0,-31.2,,10.0,-100,64.1,21.9,0.49,,20.2,54.0,-0.91,0.8,,513397
3163,Steel companies,Vallabh Steels,https://www.screener.in/company/531913/,3.41,6.93,12.3,4.88,48.7,1.85,0.0,9.85,16.4,10.0,"2,854",42.0,21.9,0.49,-32.6,43.6,44.5,0.12,0.56,0.62,531913
3164,Steel companies,Gopal Iron Stl.,https://www.screener.in/company/ANGELONE/consolidated/,"29,280","3,488","3,505",999,28.7,311,1.14,44.0,47.1,10.0,26.8,249,20.4,8.40,59.0,0.49,70.7,36.3,1.0,0.6,ANGELONE
3165,Stock/ Commodity Brokers companies,Angel One,https://www.screener.in/company/ISEC/consolidated/,"23,205",718,777,416,18.7,101,2.65,18.1,42.3,5.00,13.2,72.5,20.4,32.3,25.7,7.59,53.2,13.1,0.92,3.79,ISEC
3166,Stock/ Commodity Brokers companies,ICICI Securities,https://www.screener.in/company/MOTILALOFS/consolidated/,"18,430","1,241","1,476",551,12.7,504,0.81,12.9,15.6,1.00,26.2,125,20.4,14.8,21.0,15.9,56.2,35.8,0.84,1.61,MOTILALOFS
3167,Stock/ Commodity Brokers companies,Motil.Oswal.Fin.,https://www.screener.in/company/NUVAMA/consolidated/,"12,645","3,590","3,770","2,100",41.5,713,0.0,12.2,14.6,10.0,25.0,71.0,20.4,3.52,41.8,4.78,63.5,41.4,0.95,2.4,NUVAMA
3168,Stock/ Commodity Brokers companies,Nuvama Wealth,https://www.screener.in/company/IIFLSEC/consolidated/,"4,510",147,152,48.2,13.5,50.2,2.04,22.9,19.6,2.00,28.6,205,20.4,30.7,21.6,3.42,69.0,3.52,0.97,0.59,IIFLSEC
3169,Stock/ Commodity Brokers companies,IIFL Securities,https://www.screener.in/company/GEOJITFSL/consolidated/,"1,870",78.2,84.2,39.1,17.0,31.1,1.92,14.5,13.7,1.00,2.69,100,20.4,23.9,13.5,7.18,62.2,1.52,0.93,0.25,GEOJITFSL
3170,Stock/ Commodity Brokers companies,Geojit Fin. Ser.,https://www.screener.in/company/5PAISA/consolidated/,"1,761",566,580,270,29.8,163,0.0,12.4,10.6,10.0,7.20,110,20.4,3.11,46.2,2.37,75.4,6.19,0.98,0.56,5PAISA
3171,Stock/ Commodity Brokers companies,5Paisa Capital,https://www.screener.in/company/MONARCH/consolidated/,"1,477",436,533,186,20.4,82.4,0.23,31.2,22.1,10.0,41.5,134,20.4,3.39,32.1,18.1,42.4,10.9,0.82,0.35,MONARCH
3172,Stock/ Commodity Brokers companies,Monarch Networth,https://www.screener.in/company/ARIHANTCAP/consolidated/,724,69.5,81.5,33.0,20.5,26.8,0.58,15.9,11.9,1.00,-3.15,111,20.4,10.4,14.9,14.7,46.2,1.41,0.85,0.44,ARIHANTCAP
