Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
Auto Ancillaries companies,Rico Auto Inds,https://www.screener.in/company/RICOAUTO/consolidated/,1172.0,86.6,112.0,63.0,24.0,51.4,0.87,,7.36,,4.85,37.6,32.7,13.5,18.0,22.3,45.0,0.5,0.78,1.04,RICOAUTO
Auto Ancillaries companies,Jay Bharat Maru.,https://www.screener.in/company/JAYBARMARU/,1151.0,106.0,138.0,50.0,33.4,47.6,0.66,,7.56,,0.88,113.0,32.7,10.8,12.2,22.8,52.2,0.8,0.77,0.85,JAYBARMARU
Auto Ancillaries companies,Enkei Wheels,https://www.screener.in/company/533477/,1047.0,582.0,640.0,416.0,,125.0,0.0,,1.84,,-0.11,39.9,32.7,1.8,35.5,8.99,57.5,3.31,0.91,0.89,533477
Auto Ancillaries companies,NDR Auto Compon.,https://www.screener.in/company/NDRAUTO/consolidated/,999.0,840.0,895.0,259.0,29.2,196.0,0.3,,14.1,,78.6,224.0,32.7,1.19,59.6,6.14,71.1,8.68,0.94,0.14,NDRAUTO
Auto Ancillaries companies,IST,https://www.screener.in/company/508807/consolidated/,924.0,792.0,795.0,395.0,8.51,1041.0,0.0,,7.71,,-4.58,101.0,32.7,1.17,0.79,0.35,75.5,27.6,1.0,0.0,508807
Auto Ancillaries companies,Munjal Auto Inds,https://www.screener.in/company/MUNJALAU/consolidated/,871.0,87.1,92.0,35.6,34.4,38.8,2.3,,5.96,,7.8,145.0,32.7,10.0,17.1,5.33,63.6,1.38,0.95,0.72,MUNJALAU
Auto Ancillaries companies,Auto.Corp.of Goa,https://www.screener.in/company/505036/,866.0,1423.0,1655.0,661.0,29.4,333.0,1.23,,14.1,,5.95,115.0,32.7,0.61,15.0,14.0,46.7,12.4,0.86,0.22,505036
Auto Ancillaries companies,The Hi-Tech Gear,https://www.screener.in/company/HITECHGEAR/consolidated/,860.0,458.0,519.0,226.0,24.6,232.0,0.55,,6.55,,-0.53,103.0,32.7,1.88,17.4,11.6,49.6,38.5,0.88,0.79,HITECHGEAR
Auto Ancillaries companies,Sar Auto Prod.,https://www.screener.in/company/538992/,778.0,1632.0,1681.0,760.0,1196.0,34.6,0.0,,3.95,,37.8,115.0,32.7,0.48,19.6,2.91,65.5,0.88,0.97,0.52,538992
Auto Ancillaries companies,Waaree Tech.,https://www.screener.in/company/539337/,774.0,719.0,742.0,140.0,,8.59,0.0,,-9.25,,71.6,415.0,32.7,1.08,,3.07,79.5,-1.85,0.97,1.69,539337
Auto Ancillaries companies,Z F Steering,https://www.screener.in/company/505163/,727.0,801.0,884.0,378.0,18.2,485.0,0.62,,6.32,,16.7,112.0,32.7,0.91,16.3,9.38,51.6,14.4,0.91,0.09,505163
Auto Ancillaries companies,Hind.Composites,https://www.screener.in/company/HINDCOMPOS/,668.0,452.0,494.0,237.0,19.1,642.0,0.44,,3.22,,9.9,91.0,32.7,1.48,16.7,8.49,54.8,6.73,0.92,0.0,HINDCOMPOS
Auto Ancillaries companies,Automotive Stamp,https://www.screener.in/company/ASAL/,665.0,420.0,482.0,246.0,50.3,-12.4,0.0,,,,5.57,70.4,32.7,1.59,31.7,13.0,53.2,2.52,0.87,,ASAL
Auto Ancillaries companies,Rane Brake Lin.,https://www.screener.in/company/RBL/,659.0,853.0,916.0,585.0,18.3,332.0,2.93,,13.3,,10.4,45.8,32.7,0.77,8.33,6.87,54.8,12.4,0.93,0.0,RBL
Auto Ancillaries companies,Munjal Showa,https://www.screener.in/company/MUNJALSHOW/,578.0,144.0,159.0,82.8,18.0,162.0,3.12,,3.45,,-1.24,74.4,32.7,4.0,-1.25,9.24,56.8,0.39,0.91,0.0,MUNJALSHOW
Auto Ancillaries companies,Bharat Seats,https://www.screener.in/company/523229/,523.0,166.0,174.0,78.0,22.2,48.9,0.84,,15.8,,5.46,113.0,32.7,3.14,21.3,4.28,62.4,2.16,0.96,0.66,523229
Auto Ancillaries companies,Autoline Industr,https://www.screener.in/company/AUTOIND/consolidated/,509.0,131.0,148.0,60.1,60.9,20.6,0.0,,1.96,,-12.4,117.0,32.7,3.9,27.1,12.0,56.0,0.9,0.88,2.52,AUTOIND
Auto Ancillaries companies,Pavna Industries,https://www.screener.in/company/PAVNAIND/consolidated/,500.0,410.0,486.0,215.0,35.7,55.7,0.24,,13.6,,-25.8,90.8,32.7,1.22,26.0,15.6,57.3,5.02,0.84,1.67,PAVNAIND
Auto Ancillaries companies,Shivam Autotech,https://www.screener.in/company/SHIVAMAUTO/,470.0,38.4,43.9,20.4,,6.45,0.0,,-28.5,,-7.22,88.0,32.7,12.2,-7.16,12.4,59.7,-1.24,0.88,2.34,SHIVAMAUTO
Auto Ancillaries companies,Menon Pistons,https://www.screener.in/company/531727/consolidated/,420.0,82.4,102.0,37.2,16.7,25.0,1.21,,19.8,,11.2,122.0,32.7,5.1,,18.9,65.1,1.4,0.81,0.16,531727
Auto Ancillaries companies,Frontier Springs,https://www.screener.in/company/522195/,417.0,1059.0,1064.0,342.0,49.7,204.0,0.09,,10.2,,24.2,210.0,32.7,0.39,2.44,0.48,76.0,7.24,1.0,0.03,522195
Auto Ancillaries companies,Goldstar Power,https://www.screener.in/company/GOLDSTAR/,404.0,16.8,23.4,4.0,97.4,1.1,0.0,,16.9,,-23.0,320.0,32.7,24.1,11.7,28.0,60.0,0.09,0.72,0.64,GOLDSTAR
Auto Ancillaries companies,Remsons Ind,https://www.screener.in/company/REMSONSIND/,384.0,673.0,716.0,182.0,47.6,77.9,0.22,,20.7,,-4.06,270.0,32.7,0.57,18.4,5.94,66.4,3.85,0.94,1.41,REMSONSIND
Auto Ancillaries companies,Talbros Engg.,https://www.screener.in/company/538987/,362.0,713.0,975.0,423.0,17.3,253.0,0.28,,26.3,,-2.62,68.7,32.7,0.51,27.1,26.9,45.4,8.75,0.73,0.81,538987
Auto Ancillaries companies,Uravi T & Wedge,https://www.screener.in/company/URAVI/,356.0,324.0,359.0,93.0,404.0,22.4,0.0,,3.82,,8.17,248.0,32.7,1.1,-2.11,9.86,56.8,0.53,0.9,1.08,URAVI
Auto Ancillaries companies,Sintercom India,https://www.screener.in/company/SINTERCOM/,348.0,126.0,140.0,95.0,599.0,36.3,0.0,,-0.07,,8.02,33.0,32.7,2.75,15.4,9.46,45.6,0.09,0.91,0.29,SINTERCOM
