Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
Plastic products companies,Jai Corp,https://www.screener.in/company/JISLJALEQS/consolidated/,4299.0,63.4,73.4,26.5,,80.7,,4.02,19.3,2.0,15.1,139.0,32.1,66.8,-1.15,13.6,45.5,0.13,0.86,0.73,JISLJALEQS
Plastic products companies,Jain Irrigation,https://www.screener.in/company/TIMETECHNO/consolidated/,4010.0,177.0,194.0,69.4,16.0,105.0,,13.1,10.0,1.0,16.3,155.0,32.1,22.7,6.23,8.96,49.4,3.11,0.91,0.37,TIMETECHNO
Plastic products companies,Time Technoplast,https://www.screener.in/company/NILKAMAL/consolidated/,3339.0,2238.0,2805.0,1672.0,24.0,900.0,,13.3,10.5,10.0,3.14,33.9,32.1,1.49,11.5,20.2,50.7,16.8,0.8,0.29,NILKAMAL
Plastic products companies,Nilkamal Ltd,https://www.screener.in/company/MOLDTKPAC/,3043.0,918.0,1123.0,844.0,41.3,179.0,,19.6,16.1,5.0,-4.49,8.68,32.1,3.32,18.6,18.3,66.9,4.73,0.82,0.13,MOLDTKPAC
Plastic products companies,Mold-Tek Pack.,https://www.screener.in/company/KINGFA/,2878.0,2377.0,2595.0,1223.0,23.7,438.0,,24.7,19.1,10.0,10.9,94.4,32.1,1.21,23.7,8.42,60.2,24.4,0.92,0.05,KINGFA
Plastic products companies,Kingfa Science,https://www.screener.in/company/APOLLOPIPE/,2694.0,685.0,790.0,481.0,57.6,142.0,,8.91,5.53,10.0,15.5,42.5,32.1,3.93,30.9,13.3,49.8,3.29,0.87,0.0,APOLLOPIPE
Plastic products companies,Apollo Pipes,https://www.screener.in/company/MAYURUNIQ/,2477.0,564.0,594.0,401.0,22.2,184.0,,17.8,14.4,5.0,4.27,40.5,32.1,4.4,14.0,5.13,58.1,6.45,0.95,0.02,MAYURUNIQ
Plastic products companies,Mayur Uniquoters,https://www.screener.in/company/XPROINDIA/consolidated/,2145.0,1038.0,1228.0,520.0,68.1,166.0,,28.4,26.6,10.0,-16.3,99.5,32.1,2.07,12.9,15.5,51.9,4.59,0.85,0.09,XPROINDIA
Plastic products companies,XPRO India,https://www.screener.in/company/SHAILY/,1542.0,336.0,386.0,174.0,48.6,90.0,,10.5,7.87,2.0,-8.95,93.2,32.1,4.59,21.3,12.9,47.3,2.15,0.87,0.51,SHAILY
Plastic products companies,Shaily Engineer.,https://www.screener.in/company/PPL/,950.0,397.0,480.0,134.0,12.8,132.0,,29.0,22.8,10.0,-3.52,196.0,32.1,2.39,22.6,17.2,44.0,9.48,0.83,0.09,PPL
Plastic products companies,Prakash Pipes,https://www.screener.in/company/526586/,737.0,614.0,778.0,370.0,15.1,384.0,,12.7,9.51,10.0,-2.51,65.9,32.1,1.2,1.28,21.1,49.1,12.2,0.79,0.0,526586
Plastic products companies,Wim Plast,https://www.screener.in/company/ARROWGREEN/consolidated/,663.0,440.0,517.0,161.0,21.6,73.6,,20.9,14.2,10.0,273.0,173.0,32.1,1.51,70.3,15.0,54.7,3.38,0.85,0.02,ARROWGREEN
Plastic products companies,Arrow Greentech,https://www.screener.in/company/COOLCAPS/consolidated/,568.0,491.0,640.0,321.0,106.0,36.8,,14.2,17.2,10.0,104.0,53.0,32.1,1.16,,23.3,50.2,3.28,0.77,2.1,COOLCAPS
Plastic products companies,Cool Caps,https://www.screener.in/company/KRITI/consolidated/,555.0,112.0,141.0,72.6,17.9,28.3,,-6.07,-17.5,1.0,54.4,54.1,32.1,4.96,11.1,20.6,59.8,0.51,0.79,0.82,KRITI
Plastic products companies,Kriti Industries,https://www.screener.in/company/VIKASECO/,494.0,3.65,5.09,2.35,62.9,2.64,,6.76,4.02,1.0,-21.8,55.3,32.1,135.0,27.3,28.3,52.2,0.01,0.72,0.02,VIKASECO
Plastic products companies,Vikas Ecotech,https://www.screener.in/company/526415/consolidated/,448.0,169.0,185.0,44.2,135.0,30.5,,11.3,-5.59,10.0,22.9,283.0,32.1,2.65,31.8,8.47,55.3,0.15,0.92,0.93,526415
Plastic products companies,OK Play India,https://www.screener.in/company/ESFL/consolidated/,429.0,207.0,248.0,124.0,33.3,,,17.1,16.3,10.0,1.0,67.1,32.1,2.07,,16.4,49.9,,0.84,0.08,ESFL
Plastic products companies,Essen Speciality,https://www.screener.in/company/538715/consolidated/,398.0,368.0,428.0,102.0,32.1,69.8,,12.5,13.2,10.0,26.3,259.0,32.1,1.08,15.3,14.1,43.0,3.32,0.86,0.69,538715
Plastic products companies,Dhabriya Poly.,https://www.screener.in/company/MAHEPC/,366.0,131.0,139.0,83.8,290.0,58.0,,-7.14,-7.1,10.0,29.6,56.4,32.1,2.79,-9.52,5.62,67.9,-0.24,0.94,0.19,MAHEPC
Plastic products companies,Mahindra EPC,https://www.screener.in/company/540693/,365.0,104.0,150.0,49.5,65.5,12.8,,25.6,22.5,10.0,17.7,111.0,32.1,3.5,63.7,30.3,44.6,0.44,0.7,0.21,540693
Plastic products companies,Shish Industries,https://www.screener.in/company/PREMIERPOL/,344.0,164.0,196.0,68.0,20.0,39.6,,19.6,17.0,5.0,3.39,141.0,32.1,2.09,19.7,16.3,56.8,2.33,0.84,0.0,PREMIERPOL
Plastic products companies,Premier Polyfilm,https://www.screener.in/company/PILITA/,307.0,13.0,13.2,5.95,72.0,3.06,,6.28,4.47,1.0,17.0,119.0,32.1,23.5,21.4,1.14,82.4,0.04,0.99,0.12,PILITA
Plastic products companies,Pil Italica Life,https://www.screener.in/company/526169/,291.0,231.0,295.0,170.0,25.8,101.0,,10.9,8.05,10.0,-0.62,35.7,32.1,1.26,6.5,21.7,53.5,1.59,0.78,0.0,526169
Plastic products companies,Multibase India,https://www.screener.in/company/538817/,284.0,19.2,35.8,15.3,69.8,1.6,,16.6,10.6,1.0,-7.41,25.4,32.1,14.8,23.3,46.2,32.7,0.14,0.54,0.42,538817
Plastic products companies,Captain Pipes,https://www.screener.in/company/509486/,265.0,202.0,266.0,97.0,,395.0,,4.84,-88.8,10.0,-1.36,108.0,32.1,1.31,47.9,24.2,48.8,-7.15,0.76,1.45,509486
Plastic products companies,Caprihans India,https://www.screener.in/company/531287/,242.0,398.0,416.0,84.5,31.6,64.2,,16.0,18.9,10.0,40.0,371.0,32.1,0.61,33.7,4.36,66.8,3.6,0.96,1.54,531287
Plastic products companies,National Plastic,https://www.screener.in/company/543939/consolidated/,241.0,176.0,210.0,110.0,33.5,,,,,10.0,,60.0,32.1,1.37,,16.0,49.3,,0.84,2.05,543939
Plastic products companies,Kaka Industries,https://www.screener.in/company/543239/,223.0,166.0,241.0,96.8,29.9,22.6,,27.9,21.5,10.0,-5.95,71.5,32.1,1.35,9.21,31.1,47.2,3.78,0.69,0.15,543239
Plastic products companies,G M Polyplast,https://www.screener.in/company/540078/,222.0,184.0,235.0,136.0,27.8,53.9,,16.8,20.8,10.0,5.15,34.5,32.1,1.21,30.6,21.9,53.1,1.24,0.78,1.26,540078
Plastic products companies,Mitsu Chem Plast,https://www.screener.in/company/TEXMOPIPES/consolidated/,214.0,73.4,89.4,41.0,,67.1,,-16.9,-28.2,10.0,23.0,79.0,32.1,2.92,25.0,17.8,48.4,0.32,0.82,0.23,TEXMOPIPES
Plastic products companies,Texmo Pipes,https://www.screener.in/company/541778/consolidated/,206.0,89.2,162.0,80.0,24.8,30.6,,13.9,14.8,10.0,-17.6,11.5,32.1,2.3,54.1,45.0,56.2,0.49,0.55,0.68,541778
Plastic products companies,Deep Polymers,https://www.screener.in/company/544035/consolidated/,196.0,112.0,134.0,101.0,65.0,,,,,10.0,,10.3,32.1,1.76,,16.6,41.0,4.12,0.83,2.43,544035
Plastic products companies,Swashthik,https://www.screener.in/company/BEARDSELL/,179.0,45.4,52.5,17.0,17.7,17.4,,18.5,15.2,2.0,8.59,167.0,32.1,3.94,16.5,13.6,48.2,0.66,0.86,0.46,BEARDSELL
Plastic products companies,Beardsell,https://www.screener.in/company/530589/consolidated/,178.0,162.0,199.0,89.1,9.07,130.0,,13.7,12.6,10.0,16.6,81.4,32.1,1.1,14.8,18.8,41.0,4.43,0.81,0.29,530589
Plastic products companies,Prima Plastics,https://www.screener.in/company/536974/,178.0,35.3,38.4,16.0,14.4,15.8,,11.3,8.14,2.0,63.0,121.0,32.1,5.04,6.44,8.1,55.4,0.7,0.92,1.13,536974
Plastic products companies,Captain Polyplas,https://www.screener.in/company/RMDRIP/,149.0,118.0,118.0,15.6,34.8,19.8,,5.1,0.24,10.0,-3.61,661.0,32.1,1.25,-22.2,0.0,81.8,0.46,1.0,0.23,RMDRIP
Plastic products companies,R M Drip & Sprin,https://www.screener.in/company/523248/,140.0,227.0,271.0,94.0,73.4,85.2,,6.1,3.18,10.0,4.76,142.0,32.1,0.61,11.0,16.2,56.2,0.95,0.84,1.5,523248
Plastic products companies,Machino Plastics,https://www.screener.in/company/TAINWALCHM/,137.0,146.0,167.0,97.2,24.2,118.0,,2.74,2.17,10.0,200.0,50.6,32.1,0.94,6.64,12.1,54.0,5.04,0.88,0.0,TAINWALCHM
Plastic products companies,Tainwala Chem.,https://www.screener.in/company/530449/,122.0,61.0,110.0,25.6,22.1,42.3,,6.57,4.17,10.0,60.2,138.0,32.1,1.99,42.3,44.5,43.9,0.52,0.55,0.14,530449
Plastic products companies,Rungta Irrigatn.,https://www.screener.in/company/TOKYOPLAST/,112.0,118.0,139.0,84.3,197.0,63.1,,2.81,-0.82,10.0,-18.3,40.3,32.1,0.95,7.47,14.8,51.8,0.87,0.85,0.2,TOKYOPLAST
Plastic products companies,Tokyo Plast Intl,https://www.screener.in/company/AVROIND/,112.0,111.0,170.0,93.7,27.3,26.6,,20.5,17.8,10.0,0.33,18.2,32.1,1.01,22.0,34.8,49.5,1.01,0.65,0.6,AVROIND
Plastic products companies,Avro India,https://www.screener.in/company/526409/consolidated/,94.0,9.99,16.7,8.85,73.4,3.73,,10.7,4.39,2.0,-49.3,12.9,32.1,9.41,-46.2,40.2,46.2,0.0,0.6,1.36,526409
Plastic products companies,KKalpana Inds.,https://www.screener.in/company/526731/consolidated/,89.1,157.0,188.0,132.0,,121.0,,-3.38,-5.0,10.0,-10.2,18.7,32.1,0.57,,16.6,47.8,-3.89,0.83,0.34,526731
Plastic products companies,Bright Brothers,https://www.screener.in/company/517437/,89.0,148.0,168.0,113.0,30.7,44.5,,13.6,10.8,10.0,-12.0,31.0,32.1,0.6,13.9,11.7,51.8,0.67,0.88,0.32,517437
Plastic products companies,Dutron Polymers,https://www.screener.in/company/AVSL/,77.7,146.0,185.0,85.0,80.1,62.9,,4.71,2.16,10.0,6.93,71.4,32.1,0.53,7.32,21.2,55.5,0.86,0.79,0.87,AVSL
Plastic products companies,AVSL Industries,https://www.screener.in/company/543435/,77.5,188.0,253.0,160.0,19.4,93.8,,56.3,54.2,10.0,212.0,17.2,32.1,0.41,,25.9,59.8,4.35,0.74,0.02,543435
Plastic products companies,Clara Industries,https://www.screener.in/company/523840/,73.2,32.6,39.4,14.0,49.1,16.1,,6.34,-5.15,1.0,-6.67,133.0,32.1,2.25,1.82,17.3,69.7,0.57,0.83,0.89,523840
Plastic products companies,Innovative Tech,https://www.screener.in/company/SPTL/,70.0,1.1,3.63,0.98,,-3.56,,-276.0,-977.0,1.0,-52.4,12.2,32.1,63.6,-11.0,69.7,38.2,-0.03,0.3,,SPTL
Plastic products companies,Sintex Plastics,https://www.screener.in/company/JISLDVREQS/,63.6,33.0,40.6,15.2,,,,,,2.0,,117.0,32.1,1.93,,18.7,45.6,-55.4,0.81,,JISLDVREQS
Plastic products companies,Jain Irrigat-DVR,https://www.screener.in/company/REXPIPES/,63.0,66.7,90.4,33.4,14.8,30.8,,15.4,17.2,10.0,20.7,100.0,32.1,0.94,54.2,26.2,40.9,2.65,0.74,1.18,REXPIPES
Plastic products companies,Rex Pipes&Cables,https://www.screener.in/company/531454/,57.5,26.0,31.3,16.6,65.3,12.0,,4.04,2.52,5.0,8.81,56.1,32.1,2.21,2.29,17.0,48.7,0.09,0.83,0.05,531454
Plastic products companies,Polylink Poly.,https://www.screener.in/company/MASTER/,57.2,143.0,148.0,140.0,33.4,53.5,,20.8,15.8,10.0,13.6,2.03,32.1,0.4,11.3,3.38,62.6,2.5,0.97,0.05,MASTER
Plastic products companies,Master Component,https://www.screener.in/company/PEARLPOLY/,52.9,31.4,40.9,17.2,,22.9,,-17.4,-18.1,10.0,1.6,82.8,32.1,1.68,-50.3,23.1,52.2,0.08,0.77,0.0,PEARLPOLY
Plastic products companies,Pearl Polymers,https://www.screener.in/company/526616/,49.6,54.4,65.0,34.3,11.1,41.1,,12.1,12.7,10.0,9.6,58.5,32.1,0.91,-0.64,16.4,46.8,0.83,0.84,0.9,526616
Plastic products companies,Natl. Plastic,https://www.screener.in/company/514442/consolidated/,47.4,23.5,26.3,14.5,19.9,56.0,,3.33,2.78,10.0,-17.2,62.1,32.1,2.01,-6.5,10.6,65.9,1.29,0.89,0.01,514442
Plastic products companies,Sri KPR Inds.,https://www.screener.in/company/543656/,44.2,81.8,143.0,75.0,20.4,33.5,,25.5,22.8,10.0,13.8,9.07,32.1,0.54,53.3,42.8,42.4,1.83,0.57,0.39,543656
Plastic products companies,Technopack Poly.,https://www.screener.in/company/526193/,43.7,36.2,36.2,8.18,,-141.0,,,,10.0,-33.0,343.0,32.1,1.21,-5.89,0.0,66.1,197.0,1.0,,526193
Plastic products companies,Royal Cush. Vin.,https://www.screener.in/company/530145/,43.7,12.9,18.1,6.0,,-23.2,,-13.5,,10.0,-1.32,115.0,32.1,3.39,3.31,28.8,41.0,-2.36,0.71,,530145
Plastic products companies,Kisan Mouldings,https://www.screener.in/company/513642/,43.4,51.0,55.0,39.8,24.1,17.1,,12.6,9.13,10.0,31.9,28.0,32.1,0.85,55.0,7.36,52.3,0.59,0.93,1.82,513642
Plastic products companies,Axel Polymers,https://www.screener.in/company/530401/,38.8,89.8,113.0,52.7,9.58,65.0,,16.0,14.0,10.0,-1.47,70.5,32.1,0.43,14.2,20.6,47.2,2.25,0.79,0.04,530401
Plastic products companies,Vinyoflex,https://www.screener.in/company/KSHITIJPOL/consolidated/,34.2,6.75,42.6,4.75,68.4,11.5,,6.09,2.68,2.0,-13.3,42.1,32.1,5.07,,84.2,51.7,-0.29,0.16,1.25,KSHITIJPOL
Plastic products companies,Kshitij Polyline,https://www.screener.in/company/506858/,30.4,50.8,90.4,29.0,20.9,79.8,,4.35,3.06,10.0,-21.6,75.3,32.1,0.6,-1.1,43.8,52.7,0.95,0.56,0.0,506858
Plastic products companies,Guj. Petrosynth.,https://www.screener.in/company/543843/,26.5,28.2,28.2,25.4,,17.5,,4.81,2.31,10.0,18.3,11.2,32.1,0.94,28.4,0.0,73.4,-0.73,1.0,0.24,543843
Plastic products companies,Command Polymers,https://www.screener.in/company/526143/,20.5,16.4,24.4,12.3,10.4,-10.1,,,,10.0,,33.5,32.1,1.25,-86.5,32.7,43.7,-0.18,0.67,,526143
Plastic products companies,MPL Plastics,https://www.screener.in/company/506979/,18.9,35.9,57.2,23.6,,-10.4,,0.94,,10.0,13.4,51.9,32.1,0.53,-7.25,37.2,58.4,-1.67,0.63,,506979
Plastic products companies,Apt Packaging,https://www.screener.in/company/542145/consolidated/,18.7,36.0,96.8,27.6,144.0,25.4,,3.86,1.33,10.0,33.2,30.5,32.1,0.52,,62.8,46.8,0.0,0.37,0.21,542145
Plastic products companies,Roni Households,https://www.screener.in/company/TIJARIA/,18.3,6.4,8.42,4.1,,-8.97,,-13.9,,10.0,-90.6,56.1,32.1,2.86,-42.6,24.0,49.2,-0.23,0.76,,TIJARIA
Plastic products companies,Tijaria Polypipe,https://www.screener.in/company/537573/,18.3,38.3,42.0,28.3,,21.5,,2.64,4.23,10.0,76.3,35.4,32.1,0.48,18.9,8.79,55.2,0.08,0.91,0.72,537573
Plastic products companies,Polymac Thermof.,https://www.screener.in/company/523594/,16.9,24.5,38.0,19.0,13.5,14.7,,20.2,15.4,10.0,13.2,28.8,32.1,0.69,9.93,35.4,50.9,0.41,0.65,0.0,523594
Plastic products companies,Kunststoff Inds.,https://www.screener.in/company/531663/,12.8,1.41,1.62,1.29,,-0.52,,-12.7,,1.0,-8.49,9.3,32.1,9.07,16.8,13.0,45.1,-0.01,0.87,,531663
Plastic products companies,Yuvraaj Hygiene,https://www.screener.in/company/531671/,11.4,2.12,3.7,0.33,49.8,0.17,,24.2,24.2,1.0,62.2,542.0,32.1,5.4,48.1,42.7,39.3,0.01,0.57,0.0,531671
Plastic products companies,Bisil Plast,https://www.screener.in/company/531779/,10.8,20.0,88.7,0.0,67.6,15.6,,6.4,3.2,10.0,11.6,,32.1,0.54,13.6,77.4,31.3,0.52,0.23,0.36,531779
Plastic products companies,Padmanabh Alloys,https://www.screener.in/company/SMVD/consolidated/,10.8,10.8,16.5,7.6,,-31.9,,7.22,1.51,10.0,-6.12,41.4,32.1,1.0,11.2,34.8,49.6,-55.2,0.65,,SMVD
Plastic products companies,SMVD Poly Pack,https://www.screener.in/company/531997/,9.77,5.49,5.49,1.95,61.1,,,-431.0,,10.0,,182.0,32.1,,,0.0,100.0,,1.0,0.78,531997
Plastic products companies,Vuenow Infratech,https://www.screener.in/company/526799/,9.48,13.7,18.6,6.13,,-7.71,,-176.0,,10.0,-100.0,123.0,32.1,0.69,,26.4,51.4,-0.06,0.74,,526799
Plastic products companies,Union Qual. Pla.,https://www.screener.in/company/523652/,8.7,15.7,20.4,11.0,,11.3,,-7.41,-7.41,10.0,,43.1,32.1,0.55,,23.0,44.5,0.02,0.77,0.0,523652
Plastic products companies,Kkalpana Plastic,https://www.screener.in/company/SANCO/,8.37,6.4,10.4,5.2,,-4.03,,-32.4,-409.0,10.0,,23.1,32.1,1.31,-67.2,38.2,48.5,-0.12,0.62,,SANCO
Plastic products companies,Sanco Industries,https://www.screener.in/company/531397/,7.06,14.4,20.2,12.5,,6.88,,6.26,1.6,10.0,-24.1,15.4,32.1,0.49,-4.41,28.6,46.6,0.08,0.71,9.35,531397
Plastic products companies,Polycon Intl.,https://www.screener.in/company/530429/,6.8,20.0,30.7,12.7,15.8,17.6,,5.45,3.43,10.0,-5.07,57.6,32.1,0.34,7.99,34.8,48.0,0.44,0.65,0.11,530429
Plastic products companies,Ashish Polyplast,https://www.screener.in/company/530027/,5.23,5.23,5.5,3.01,,-6.72,,-43.4,,10.0,-100.0,73.8,32.1,1.0,,4.91,74.8,-0.04,0.95,,530027
Plastic products companies,Aadi Industries,https://www.screener.in/company/517431/,4.82,13.3,14.3,6.82,53.6,6.6,,1.45,0.43,10.0,-80.0,95.0,32.1,0.36,36.2,7.19,61.9,0.14,0.93,0.18,517431
Plastic products companies,Narmada Macplast,https://www.screener.in/company/531929/,4.78,6.02,8.25,4.85,,3.46,,-35.9,-82.9,10.0,-98.3,24.1,32.1,0.79,-38.7,27.0,47.1,-0.13,0.73,0.0,531929
Plastic products companies,Innocorp,https://www.screener.in/company/520121/,3.36,6.53,8.4,5.13,,7.84,,-29.3,-24.3,10.0,-68.7,27.3,32.1,0.51,173.0,22.3,51.5,-0.27,0.78,0.07,520121
Plastic products companies,Arcee Industries,https://www.screener.in/company/526001/consolidated/,3.28,7.09,7.09,3.61,,18.9,,-2.21,-2.3,10.0,,96.4,32.1,0.46,,0.0,77.5,-0.41,1.0,0.01,526001
Plastic products companies,Jauss Polymers,https://www.screener.in/company/526731/consolidated/,89.1,157.0,188.0,132.0,,121.0,,-3.38,-5.0,10.0,-10.2,18.7,32.1,0.57,,16.6,47.8,-3.89,0.83,0.34,526731
Plastic products companies,Bright Brothers,https://www.screener.in/company/517437/,89.0,148.0,168.0,113.0,30.7,44.5,,13.6,10.8,10.0,-12.0,31.0,32.1,0.6,13.9,11.7,51.8,0.67,0.88,0.32,517437
Plastic products companies,Dutron Polymers,https://www.screener.in/company/AVSL/,77.7,146.0,185.0,85.0,80.1,62.9,,4.71,2.16,10.0,6.93,71.4,32.1,0.53,7.32,21.2,55.5,0.86,0.79,0.87,AVSL
Plastic products companies,AVSL Industries,https://www.screener.in/company/543435/,77.5,188.0,253.0,160.0,19.4,93.8,,56.3,54.2,10.0,212.0,17.2,32.1,0.41,,25.9,59.8,4.35,0.74,0.02,543435
Plastic products companies,Clara Industries,https://www.screener.in/company/523840/,73.2,32.6,39.4,14.0,49.1,16.1,,6.34,-5.15,1.0,-6.67,133.0,32.1,2.25,1.82,17.3,69.7,0.57,0.83,0.89,523840
Plastic products companies,Innovative Tech,https://www.screener.in/company/SPTL/,70.0,1.1,3.63,0.98,,-3.56,,-276.0,-977.0,1.0,-52.4,12.2,32.1,63.6,-11.0,69.7,38.2,-0.03,0.3,,SPTL
Plastic products companies,Sintex Plastics,https://www.screener.in/company/JISLDVREQS/,63.6,33.0,40.6,15.2,,,,,,2.0,,117.0,32.1,1.93,,18.7,45.6,-55.4,0.81,,JISLDVREQS
Plastic products companies,Jain Irrigat-DVR,https://www.screener.in/company/REXPIPES/,63.0,66.7,90.4,33.4,14.8,30.8,,15.4,17.2,10.0,20.7,100.0,32.1,0.94,54.2,26.2,40.9,2.65,0.74,1.18,REXPIPES
Plastic products companies,Rex Pipes&Cables,https://www.screener.in/company/531454/,57.5,26.0,31.3,16.6,65.3,12.0,,4.04,2.52,5.0,8.81,56.1,32.1,2.21,2.29,17.0,48.7,0.09,0.83,0.05,531454
Plastic products companies,Polylink Poly.,https://www.screener.in/company/MASTER/,57.2,143.0,148.0,140.0,33.4,53.5,,20.8,15.8,10.0,13.6,2.03,32.1,0.4,11.3,3.38,62.6,2.5,0.97,0.05,MASTER
Plastic products companies,Master Component,https://www.screener.in/company/PEARLPOLY/,52.9,31.4,40.9,17.2,,22.9,,-17.4,-18.1,10.0,1.6,82.8,32.1,1.68,-50.3,23.1,52.2,0.08,0.77,0.0,PEARLPOLY
Plastic products companies,Pearl Polymers,https://www.screener.in/company/526616/,49.6,54.4,65.0,34.3,11.1,41.1,,12.1,12.7,10.0,9.6,58.5,32.1,0.91,-0.64,16.4,46.8,0.83,0.84,0.9,526616
Plastic products companies,Natl. Plastic,https://www.screener.in/company/514442/consolidated/,47.4,23.5,26.3,14.5,19.9,56.0,,3.33,2.78,10.0,-17.2,62.1,32.1,2.01,-6.5,10.6,65.9,1.29,0.89,0.01,514442
Plastic products companies,Sri KPR Inds.,https://www.screener.in/company/543656/,44.2,81.8,143.0,75.0,20.4,33.5,,25.5,22.8,10.0,13.8,9.07,32.1,0.54,53.3,42.8,42.4,1.83,0.57,0.39,543656
Plastic products companies,Technopack Poly.,https://www.screener.in/company/526193/,43.7,36.2,36.2,8.18,,-141.0,,,,10.0,-33.0,343.0,32.1,1.21,-5.89,0.0,66.1,197.0,1.0,,526193
Plastic products companies,Royal Cush. Vin.,https://www.screener.in/company/530145/,43.7,12.9,18.1,6.0,,-23.2,,-13.5,,10.0,-1.32,115.0,32.1,3.39,3.31,28.8,41.0,-2.36,0.71,,530145
Plastic products companies,Kisan Mouldings,https://www.screener.in/company/513642/,43.4,51.0,55.0,39.8,24.1,17.1,,12.6,9.13,10.0,31.9,28.0,32.1,0.85,55.0,7.36,52.3,0.59,0.93,1.82,513642
Plastic products companies,Axel Polymers,https://www.screener.in/company/530401/,38.8,89.8,113.0,52.7,9.58,65.0,,16.0,14.0,10.0,-1.47,70.5,32.1,0.43,14.2,20.6,47.2,2.25,0.79,0.04,530401
Plastic products companies,Vinyoflex,https://www.screener.in/company/KSHITIJPOL/consolidated/,34.2,6.75,42.6,4.75,68.4,11.5,,6.09,2.68,2.0,-13.3,42.1,32.1,5.07,,84.2,51.7,-0.29,0.16,1.25,KSHITIJPOL
Plastic products companies,Kshitij Polyline,https://www.screener.in/company/506858/,30.4,50.8,90.4,29.0,20.9,79.8,,4.35,3.06,10.0,-21.6,75.3,32.1,0.6,-1.1,43.8,52.7,0.95,0.56,0.0,506858
Plastic products companies,Guj. Petrosynth.,https://www.screener.in/company/543843/,26.5,28.2,28.2,25.4,,17.5,,4.81,2.31,10.0,18.3,11.2,32.1,0.94,28.4,0.0,73.4,-0.73,1.0,0.24,543843
Plastic products companies,Command Polymers,https://www.screener.in/company/526143/,20.5,16.4,24.4,12.3,10.4,-10.1,,,,10.0,,33.5,32.1,1.25,-86.5,32.7,43.7,-0.18,0.67,,526143
Plastic products companies,MPL Plastics,https://www.screener.in/company/506979/,18.9,35.9,57.2,23.6,,-10.4,,0.94,,10.0,13.4,51.9,32.1,0.53,-7.25,37.2,58.4,-1.67,0.63,,506979
Plastic products companies,Apt Packaging,https://www.screener.in/company/542145/consolidated/,18.7,36.0,96.8,27.6,144.0,25.4,,3.86,1.33,10.0,33.2,30.5,32.1,0.52,,62.8,46.8,0.0,0.37,0.21,542145
Plastic products companies,Roni Households,https://www.screener.in/company/TIJARIA/,18.3,6.4,8.42,4.1,,-8.97,,-13.9,,10.0,-90.6,56.1,32.1,2.86,-42.6,24.0,49.2,-0.23,0.76,,TIJARIA
Plastic products companies,Tijaria Polypipe,https://www.screener.in/company/537573/,18.3,38.3,42.0,28.3,,21.5,,2.64,4.23,10.0,76.3,35.4,32.1,0.48,18.9,8.79,55.2,0.08,0.91,0.72,537573
Plastic products companies,Polymac Thermof.,https://www.screener.in/company/523594/,16.9,24.5,38.0,19.0,13.5,14.7,,20.2,15.4,10.0,13.2,28.8,32.1,0.69,9.93,35.4,50.9,0.41,0.65,0.0,523594
Plastic products companies,Kunststoff Inds.,https://www.screener.in/company/531663/,12.8,1.41,1.62,1.29,,-0.52,,-12.7,,1.0,-8.49,9.3,32.1,9.07,16.8,13.0,45.1,-0.01,0.87,,531663
Plastic products companies,Yuvraaj Hygiene,https://www.screener.in/company/531671/,11.4,2.12,3.7,0.33,49.8,0.17,,24.2,24.2,1.0,62.2,542.0,32.1,5.4,48.1,42.7,39.3,0.01,0.57,0.0,531671
Plastic products companies,Bisil Plast,https://www.screener.in/company/531779/,10.8,20.0,88.7,0.0,67.6,15.6,,6.4,3.2,10.0,11.6,,32.1,0.54,13.6,77.4,31.3,0.52,0.23,0.36,531779
Plastic products companies,Padmanabh Alloys,https://www.screener.in/company/SMVD/consolidated/,10.8,10.8,16.5,7.6,,-31.9,,7.22,1.51,10.0,-6.12,41.4,32.1,1.0,11.2,34.8,49.6,-55.2,0.65,,SMVD
Plastic products companies,SMVD Poly Pack,https://www.screener.in/company/531997/,9.77,5.49,5.49,1.95,61.1,,,-431.0,,10.0,,182.0,32.1,,,0.0,100.0,,1.0,0.78,531997
Plastic products companies,Vuenow Infratech,https://www.screener.in/company/526799/,9.48,13.7,18.6,6.13,,-7.71,,-176.0,,10.0,-100.0,123.0,32.1,0.69,,26.4,51.4,-0.06,0.74,,526799
Plastic products companies,Union Qual. Pla.,https://www.screener.in/company/523652/,8.7,15.7,20.4,11.0,,11.3,,-7.41,-7.41,10.0,,43.1,32.1,0.55,,23.0,44.5,0.02,0.77,0.0,523652
Plastic products companies,Kkalpana Plastic,https://www.screener.in/company/SANCO/,8.37,6.4,10.4,5.2,,-4.03,,-32.4,-409.0,10.0,,23.1,32.1,1.31,-67.2,38.2,48.5,-0.12,0.62,,SANCO
Plastic products companies,Sanco Industries,https://www.screener.in/company/531397/,7.06,14.4,20.2,12.5,,6.88,,6.26,1.6,10.0,-24.1,15.4,32.1,0.49,-4.41,28.6,46.6,0.08,0.71,9.35,531397
