,company_url,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity
397,https://www.screener.in/company/TVSMOTOR/consolidated/,95590.0,2012.0,2109.0,968.0,65.6,133.0,0.25,13.2,25.6,1.0,20.7,108.0,46.9,47.5,19.3,4.62,54.4,8.13,0.95,2.03
398,https://www.screener.in/company/SRF/consolidated/,68016.0,2294.0,2637.0,2040.0,39.2,366.0,0.31,22.4,22.8,10.0,-5.2,12.4,34.3,29.6,27.3,13.0,36.5,10.2,0.87,0.46
399,https://www.screener.in/company/GESHIP/consolidated/,13693.0,959.0,1042.0,532.0,5.43,781.0,3.0,20.9,26.8,10.0,15.5,80.3,11.8,14.3,15.6,7.96,53.3,41.6,0.92,0.31
400,https://www.screener.in/company/COROMANDEL/consolidated/,33942.0,1153.0,1288.0,838.0,16.8,308.0,1.04,38.3,28.1,1.0,5.27,37.6,26.6,29.4,31.1,10.5,39.1,25.7,0.89,0.05
401,https://www.screener.in/company/PATANJALI/consolidated/,56435.0,1560.0,1714.0,852.0,,-140.0,0.38,1.58,0.0,2.0,5.84,83.2,25.2,36.2,-25.1,8.98,47.0,1.75,0.91,0.0
402,https://www.screener.in/company/JINDALSTEL/consolidated/,73411.0,720.0,768.0,503.0,17.0,407.0,0.28,14.2,10.6,1.0,-4.58,43.1,17.1,102.0,12.0,6.28,48.5,13.6,0.94,0.32
403,https://www.screener.in/company/CUMMINSIND/consolidated/,56276.0,2031.0,2099.0,1356.0,38.9,219.0,1.23,26.9,22.1,2.0,19.7,49.8,34.9,27.7,14.4,3.25,59.2,11.9,0.97,0.05
404,https://www.screener.in/company/TATAPOWER/consolidated/,110415.0,346.0,362.0,182.0,32.3,94.3,0.58,11.7,12.6,1.0,11.9,89.5,22.0,320.0,23.7,4.53,61.0,2.74,0.95,1.74
405,https://www.screener.in/company/DEEPAKNTR/consolidated/,31282.0,2293.0,2521.0,1730.0,39.2,318.0,0.33,29.7,22.7,2.0,-1.52,32.6,34.3,13.6,23.5,9.05,39.9,15.0,0.91,0.02
406,https://www.screener.in/company/GRASIM/consolidated/,139711.0,2054.0,2167.0,1521.0,21.1,1222.0,0.49,9.97,8.85,2.0,13.5,35.0,25.9,68.0,19.9,5.23,46.5,17.1,0.95,1.47
407,https://www.screener.in/company/VEDL/consolidated/,99229.0,268.0,341.0,208.0,20.0,85.0,37.9,21.2,20.4,1.0,-3.01,28.7,17.8,372.0,20.4,21.5,57.2,-4.8,0.79,2.38
408,https://www.screener.in/company/PRESTIGE/consolidated/,52121.0,1302.0,1440.0,391.0,30.6,275.0,0.12,10.3,7.56,10.0,25.0,233.0,32.9,40.1,0.77,9.58,60.7,21.2,0.9,1.0
409,https://www.screener.in/company/ESCORTS/consolidated/,32115.0,2908.0,3440.0,1808.0,35.3,783.0,0.24,11.3,8.56,10.0,14.2,60.9,29.1,11.0,13.2,15.5,44.1,20.2,0.85,0.01
410,https://www.screener.in/company/ZYDUSWELL/consolidated/,10287.0,1617.0,1721.0,1364.0,34.0,818.0,0.31,5.93,6.4,10.0,5.44,18.6,39.0,6.36,8.47,6.02,47.1,0.93,0.94,0.07
411,https://www.screener.in/company/AEGISCHEM/consolidated/,13210.0,376.0,410.0,280.0,26.0,104.0,1.53,15.9,15.9,1.0,-1.65,34.5,51.4,35.1,6.3,8.28,63.3,3.62,0.92,0.65
412,https://www.screener.in/company/ENDURANCE/consolidated/,28677.0,2036.0,2319.0,1172.0,51.0,326.0,0.34,13.8,11.3,10.0,10.4,73.8,33.2,14.1,8.38,12.2,63.8,11.0,0.88,0.15
413,https://www.screener.in/company/ASAHIINDIA/consolidated/,13425.0,553.0,651.0,420.0,39.5,91.2,0.36,20.5,18.6,1.0,15.6,31.7,35.9,24.3,15.0,15.2,43.4,3.57,0.85,0.7
414,https://www.screener.in/company/BAJAJFINSV/consolidated/,252462.0,1581.0,1742.0,1215.0,34.0,319.0,0.05,11.3,14.8,1.0,29.4,30.1,22.1,160.0,14.7,9.23,29.0,12.1,0.91,4.94
415,https://www.screener.in/company/INTELLECT/consolidated/,11845.0,866.0,869.0,388.0,37.4,164.0,0.29,18.8,13.8,5.0,16.0,123.0,39.3,13.7,18.3,0.35,71.1,5.16,1.0,0.02
416,https://www.screener.in/company/SUNDARMFIN/consolidated/,40408.0,3633.0,3865.0,2190.0,26.8,952.0,0.74,8.0,14.1,10.0,20.3,65.9,22.1,11.1,5.33,5.99,55.3,32.9,0.94,4.62
417,https://www.screener.in/company/HAVELLS/consolidated/,87794.0,1400.0,1472.0,1128.0,74.6,110.0,0.54,22.3,17.0,1.0,10.7,24.1,60.2,62.7,21.4,4.87,55.5,3.97,0.95,0.04
418,https://www.screener.in/company/LEMONTREE/consolidated/,10628.0,134.0,138.0,72.0,81.7,10.9,0.0,10.1,13.6,10.0,43.5,86.3,39.6,79.2,9.34,3.21,65.2,0.29,0.97,2.73
419,https://www.screener.in/company/LUPIN/consolidated/,64900.0,1426.0,1436.0,628.0,48.8,291.0,0.28,5.73,3.33,2.0,16.8,127.0,35.8,45.5,2.67,0.72,68.3,10.8,0.99,0.29
