Company_Type,Tiker_name,Company_name,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Company_link
Auto Ancillaries companies,543065,SM Auto Stamping,70.5,49.4,57.0,0.0,25.6,14.8,2.53,,14.6,,26.4,,32.7,1.43,15.8,13.4,55.7,1.05,0.87,0.18,https://www.screener.in/company/543065/consolidated/
Auto Ancillaries companies,543606,Containe Tech.,68.1,109.0,131.0,59.8,64.2,14.7,0.0,,5.31,,210.0,82.3,32.7,0.62,17.4,17.0,53.3,1.17,0.83,0.54,https://www.screener.in/company/543606/
Auto Ancillaries companies,UWCSL,Ultra Wiring,66.1,127.0,141.0,67.0,29.9,35.9,0.0,,13.7,,50.5,89.4,32.7,0.52,33.9,10.1,59.1,2.73,0.9,0.33,https://www.screener.in/company/UWCSL/
Auto Ancillaries companies,513496,Sizemasters Tech,62.8,62.8,62.8,25.0,523.0,10.8,0.0,,,,,152.0,32.7,1.0,,0.0,100.0,0.8,1.0,0.68,https://www.screener.in/company/513496/consolidated/
Auto Ancillaries companies,PRECISION,Precision Metal.,57.4,35.3,53.5,26.0,9.21,30.7,0.0,,16.0,,16.5,35.8,32.7,1.63,104.0,34.0,38.5,1.24,0.66,0.09,https://www.screener.in/company/PRECISION/
Auto Ancillaries companies,530711,Jagan Lamps,55.8,76.4,95.5,38.0,18.5,39.1,0.0,,10.1,,11.2,101.0,32.7,0.73,26.4,20.0,41.6,0.93,0.8,0.07,https://www.screener.in/company/530711/
Auto Ancillaries companies,ASLIND,ASL Industries,43.4,41.7,42.3,16.6,29.6,33.8,0.0,,4.81,,-100.0,150.0,32.7,1.04,,1.42,62.9,0.46,0.99,0.0,https://www.screener.in/company/ASLIND/
Auto Ancillaries companies,513059,G S Auto Intl.,36.6,25.2,27.2,13.4,,14.8,0.0,,-12.4,,20.6,88.4,32.7,1.45,16.1,7.17,63.6,0.1,0.93,1.7,https://www.screener.in/company/513059/
Auto Ancillaries companies,505212,Jainex Aamcol,23.4,156.0,191.0,84.0,36.6,44.5,0.0,,21.1,,0.85,85.8,32.7,0.15,14.0,18.2,44.2,2.27,0.82,0.65,https://www.screener.in/company/505212/
Auto Ancillaries companies,520141,Sibar Auto Parts,17.4,10.5,15.2,6.52,,6.49,0.0,,-6.41,,-17.7,61.2,32.7,1.65,8.68,30.6,55.4,0.01,0.69,0.23,https://www.screener.in/company/520141/
